,Unnamed: 0,id,artists,name,decade,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,spotify_popularity
30,30,7eqNATKM78MkWP6aHGXHEV,Paul Anka,Put Your Head on My Shoulder,1950,0.549,0.433,7,-8.526,1,0.0327,0.906,0.0108,0.0774,0.486,116.068,155080,3,63.0
31,31,1oDCK7PW72XEZ1pE5rh87A,Nat King Cole,Smile,1950,0.226,0.136,5,-19.203,0,0.0327,0.862,8.07e-06,0.302,0.263,79.37,173267,5,64.0
32,32,3oAWTk92mZBxKBOKf8mR5v,Eddie Cochran,Summertime Blues,1950,0.714,0.886,11,-8.629,0,0.0554,0.116,0.184,0.18,0.954,156.351,119360,4,62.0
33,33,47gmoUrZV3w20JAnQOZMcO,Elvis Presley,Blue Suede Shoes,1950,0.557,0.66,2,-7.706,1,0.056,0.654,1.66e-06,0.138,0.962,95.252,119200,4,65.0
34,34,1pZn8AX1WulW8IO338hE5D,Billie Holiday,Blue Moon,1950,0.639,0.269,8,-11.435,1,0.0698,0.982,0.12,0.141,0.539,124.866,207827,4,64.0
35,35,4FlYcJnfkeBpowEHJ72Bmt,Bobby Day,Rockin' Robin,1950,0.541,0.608,7,-13.083,1,0.106,0.298,0.0,0.234,0.938,171.992,160080,4,62.0
36,36,58PSYdY0GFg0LFb2PxYk4T,Muddy Waters,Mannish Boy,1950,0.598,0.735,2,-10.882,1,0.0973,0.44,0.000215,0.681,0.615,111.129,321133,3,62.0
37,37,0ZvgXNstN4o2ZXPomtBYVp,Little Richard,"Good Golly, Miss Molly",1950,0.563,0.741,7,-11.947,1,0.0486,0.602,0.00251,0.325,0.967,164.15,129133,4,60.0
38,38,66iKqUazBbTlAEjcZrpDkD,Dinah Washington,What A Diff'rence A Day Made,1950,0.387,0.117,0,-17.803,1,0.0299,0.925,0.000171,0.109,0.166,93.575,151867,4,63.0
39,39,79nJj5dMyTsUzKvN5jUXsJ,Ray Charles,I Can't Stop Loving You,1950,0.31,0.279,5,-13.552,1,0.0308,0.815,0.0,0.318,0.377,79.397,256120,3,61.0
40,40,4l9hml2UCnxoNI3yCdL1BW,Chet Baker,My Funny Valentine,1950,0.438,0.00756,0,-26.44,0,0.0382,0.941,0.00643,0.109,0.277,133.32,141133,4,62.0
41,41,11fNLqDB47gMKj7BHhR2Qr,The Everly Brothers,Wake up Little Susie,1950,0.709,0.62,2,-9.382,1,0.034,0.318,0.0,0.0426,0.936,93.723,123520,4,61.0
42,42,4I4aQGNJ2HufloNtB65nxR,Dean Martin & Dick Stabile And His Orchestra,That's Amore,1950,0.471,0.146,10,-13.6,1,0.0309,0.782,0.0,0.0888,0.595,78.554,190400,4,61.0
43,43,4IYyGIbMS5ZkxDXGfPIrXr,The Del-Vikings,Come Go With Me,1950,0.566,0.534,5,-9.416,0,0.0409,0.713,0.0,0.0883,0.582,129.69,162293,4,59.0
44,44,3E5ndyOfO6vFDEIE42HA8o,Bobby Darin,Mack the Knife,1950,0.549,0.529,3,-12.291,0,0.108,0.76,0.0,0.206,0.464,82.755,184333,4,61.0
45,45,4LcrHUkRmXG3c0YD5VYutn,Danny & The Juniors,At The Hop,1950,0.407,0.826,8,-8.29,1,0.0495,0.693,1.57e-05,0.285,0.891,192.21,150867,4,58.0
46,46,2FkCjtQ1lYsf71s2FAS8hE,The Platters,The Great Pretender,1950,0.425,0.401,7,-9.427,1,0.0315,0.943,3.44e-06,0.072,0.531,115.71,160667,3,61.0
47,47,2OARIMw1hpehr86Iwmv04c,Buddy Holly & The Crickets,Peggy Sue,1950,0.676,0.424,9,-8.132,1,0.0329,0.947,0.000494,0.119,0.493,148.373,150960,4,58.0
48,48,5P11rW6aJErF37MTfRZS31,Ray Charles,"Hallelujah, I Love Her So",1950,0.696,0.547,5,-5.954,0,0.169,0.792,0.0,0.155,0.623,73.203,155507,4,62.0
49,49,0QGwOFQChzflLAmPq5NwKo,Dion & The Belmonts,A Teenager In Love,1950,0.555,0.377,1,-9.123,1,0.0295,0.671,0.0,0.128,0.619,78.986,158253,4,61.0
50,50,0DICNd5XQ1og9UeYzxoNFV,Dinah Washington & Brook Benton,Baby (You've Got What It Takes),1950,0.67,0.596,3,-9.347,1,0.0627,0.852,0.00203,0.653,0.813,133.396,165760,4,57.0
51,51,7demHL0GXA6YmTNqw3Btz8,The Coasters,Yakety Yak,1950,0.715,0.669,7,-9.491,1,0.128,0.705,0.000732,0.044,0.976,120.789,113040,4,35.0
52,52,06PdA0DLgF4BfAeUNZAbFG,Fats Domino,Blueberry Hill,1950,0.489,0.499,11,-9.702,1,0.0271,0.74,0.000236,0.156,0.829,133.341,147880,3,60.0
53,53,1V4NaFlrUCK49MXcdOcVeS,Ella Fitzgerald & Louis Armstrong,They Can't Take That Away From Me,1950,0.563,0.136,3,-17.402,1,0.0683,0.87,0.0,0.106,0.368,104.928,280000,4,60.0
54,54,40fD7ct05FvQHLdQTgJelG,Bobby Darin,Splish Splash,1950,0.645,0.943,0,-1.526,1,0.0393,0.385,0.0,0.37,0.965,147.768,131720,4,58.0
55,55,6ZKB999ZdaFVgrYWvxkl49,The Chords,Sh-Boom,1950,0.676,0.448,5,-9.295,1,0.0514,0.79,0.0,0.124,0.867,136.572,147267,4,60.0
56,56,3MpGQae6zAFd7Z1FdLV9fV,The Platters,Twilight Time - Single Version,1950,0.455,0.361,9,-12.562,1,0.0473,0.747,0.0,0.238,0.285,115.854,168293,3,59.0
57,57,6C7aTTCUWRK7dD379yUT3W,Chuck Berry,Roll Over Beethoven,1950,0.715,0.797,3,-10.154,1,0.193,0.837,0.0,0.209,0.841,92.739,144600,4,59.0
58,58,2ZNTPtYmAhN9vCwnAgqKn1,The Isley Brothers,"Shout, Pts. 1 & 2",1950,0.489,0.866,10,-7.433,1,0.0933,0.753,0.0,0.876,0.416,138.63,268560,4,58.0
59,59,3h4udS0WeWbsur3yfjvnm4,Jackie Wilson,Reet Petite,1950,0.664,0.66,5,-6.526,1,0.13,0.447,0.0,0.298,0.873,84.345,169240,4,58.0
60,60,6oRHRkQigTzJ3KwpO3XOV6,The Everly Brothers,Bye Bye Love,1950,0.547,0.523,9,-9.176,1,0.0572,0.724,0.0,0.103,0.89,169.598,142907,4,58.0
61,61,3aPlQWU07jGgyHaBHVS5TS,Peggy Lee,Fever,1950,0.838,0.171,4,-12.614,0,0.0729,0.23,0.0,0.11,0.397,135.925,199600,4,62.0
62,62,5zvOXJrzzUlvXwyuwZ0toZ,Neil Sedaka,Oh! Carol,1950,0.728,0.734,11,-3.234,1,0.0318,0.63,3.56e-05,0.137,0.965,135.078,135467,4,59.0
63,63,7ycFNferNuk6wAjBa0vWvl,The Diamonds,Little Darlin',1950,0.631,0.587,6,-11.402,1,0.042,0.536,0.29,0.333,0.664,152.851,129333,4,57.0
64,64,07GtDOCxmye5KDWsTSACPk,The Big Bopper,Chantilly Lace,1950,0.489,0.806,3,-6.054,1,0.0858,0.841,2.96e-05,0.0687,0.944,172.269,145267,4,57.0
65,65,33aYzW5ToRjiFOzkubeJ8H,Buddy Holly & The Crickets,Rave On,1950,0.566,0.711,0,-6.536,1,0.0335,0.611,6.59e-06,0.417,0.961,159.629,109960,4,56.0
66,66,34zhjduFdQFhkRUJ230h9T,Billie Holiday,April In Paris,1950,0.496,0.127,0,-14.211,1,0.0382,0.927,7.07e-05,0.132,0.211,74.746,185587,4,59.0
67,67,1KLpjQFgubHI3GkAICCNH3,Bobby Darin,Dream Lover,1950,0.526,0.774,5,-1.692,1,0.0459,0.715,0.0,0.437,0.715,131.715,150706,4,57.0
68,68,11XR0tRT4g5ov4u8M92wbF,The Penguins,Earth Angel (Will You Be Mine),1950,0.524,0.177,8,-12.306,1,0.0302,0.865,0.0,0.21,0.466,69.125,179427,4,58.0
69,69,4gFlHAye7To29Fs4UszQUH,Chet Baker,I Get Along Without You Very Well (Except Sometimes) - Vocal Version,1950,0.442,0.033,10,-23.063,1,0.041,0.922,0.000171,0.151,0.21,103.34,179640,3,59.0
70,70,6OsefWNJtsWqO7myze1HEX,Barrett Strong,Money (That's What I Want) - Single Version / Mono,1950,0.656,0.813,5,-7.324,1,0.033,0.349,0.0,0.114,0.96,132.313,158493,4,59.0
71,71,62eAoNfrrS84177LOzJMQx,Perry Como,Papa Loves Mambo,1950,0.674,0.498,0,-10.07,1,0.13,0.512,2.05e-06,0.404,0.747,81.075,162107,4,58.0
72,72,3YCbx1QqGrnxMsPEZLC1CT,Frank Sinatra,Love Is Here To Stay - Remastered 1998,1950,0.547,0.208,9,-13.458,1,0.0334,0.676,0.0,0.1,0.424,108.999,162840,4,59.0
73,73,2HyPrPSANTIPkR6CfiytwY,Doris Day & Paul Weston And His Orchestra,Dream a Little Dream of Me (with Paul Weston & His Music From Hollywood),1950,0.386,0.125,0,-17.695,1,0.0394,0.921,6.42e-06,0.0919,0.254,147.721,223373,4,57.0
74,74,0Rk9byjmZksAJX15onGns5,Dinah Washington,Teach Me Tonight,1950,0.558,0.231,5,-11.436,0,0.0812,0.805,0.0,0.142,0.403,73.103,167493,4,58.0
75,75,2Aq3BiLhITGHe6YSzkzOvi,Buddy Holly,True Love Ways,1950,0.278,0.138,10,-18.739,1,0.0349,0.799,0.0557,0.209,0.308,83.203,168307,4,57.0
76,76,4cRfSR0QxDlXRHTKyEOu93,Ritchie Valens,"Come On, Let's Go",1950,0.616,0.724,9,-8.101,1,0.042,0.788,3.16e-06,0.128,0.809,81.402,124587,3,57.0
77,77,7ItZM6DMZE2m1X7yIaRxjq,Eddie Cochran,C’Mon Everybody,1950,0.627,0.7,3,-9.657,1,0.0522,0.121,0.0111,0.188,0.856,175.33,118227,4,57.0
78,78,4ZfQwNx3FlCN07cnUvekh3,Fats Domino,Ain't That A Shame,1950,0.486,0.501,4,-8.57,1,0.0326,0.767,7.6e-05,0.0679,0.942,122.894,152200,4,57.0
79,79,4tmy6FB76bR5eLmx0zO1mn,Louis Prima & Sam Butera & The Witnesses,Pennies From Heaven,1950,0.515,0.408,8,-11.96,1,0.194,0.452,0.0,0.0682,0.915,185.767,141667,4,57.0
80,80,7DJsL4jyXA39GDiHFQYQ0t,Ray Charles,Mess Around,1950,0.565,0.962,8,-2.981,1,0.064,0.437,0.0,0.056,0.906,148.808,160227,4,56.0
81,81,760clbeDBWmBsBLbszWuNZ,Bo Diddley,I'm A Man,1950,0.513,0.546,0,-15.672,1,0.0391,0.333,0.0,0.17,0.834,85.527,164547,4,55.0
82,82,2k6qpHJsrKCCyvsHv2cPqR,Paul Anka,Diana,1950,0.551,0.576,7,-8.49,1,0.0325,0.762,0.0,0.803,0.919,142.814,140520,4,55.0
83,83,1CTex49P0iWwzUGsMNjgaV,Billie Holiday,Strange Fruit,1950,0.313,0.0437,6,-22.627,1,0.0315,0.989,0.148,0.209,0.0625,100.827,192867,1,57.0
84,84,3SQhmctWreNM0X6Zkm2K5R,Chuck Berry,Maybellene,1950,0.756,0.768,0,-10.701,1,0.112,0.735,0.0,0.182,0.783,118.208,143240,4,56.0
85,85,5ytPMYb6dkoli8sNSEsdmZ,The Clovers,Love Potion No. 9 - Remastered / Single Version,1950,0.738,0.451,7,-12.949,1,0.146,0.572,0.0,0.175,0.793,128.853,113200,4,62.0
86,86,7G2jAmiYUDZKyk7npVrgX8,The Crew Cuts,Sh-Boom,1950,0.67,0.24,2,-12.158,0,0.0697,0.863,0.0,0.231,0.578,130.205,168893,4,56.0
87,87,1hFB1obL3dCyIDigkojSTm,The Chordettes,Lollipop,1950,0.65,0.593,7,-6.374,0,0.122,0.585,0.00244,0.441,0.825,143.179,130533,4,55.0
88,88,0GVvRmCoiLkhxJvlZy9bLk,The Five Satins,In The Still of the Night,1950,0.43,0.33,6,-10.621,1,0.0353,0.876,0.0,0.105,0.316,108.824,187667,3,55.0
89,89,0VE4ayVlGs5DBoqOdgJ0Zv,Ritchie Valens,Donna - Single Version,1950,0.472,0.225,5,-12.581,1,0.0263,0.864,0.0,0.111,0.29,100.299,150973,3,55.0
90,90,3P6OwCX7Ofiaaqtvujb6i5,Tennessee Ernie Ford,Sixteen Tons,1950,0.693,0.324,11,-15.085,1,0.205,0.796,0.0,0.246,0.382,144.14,158307,4,55.0
91,91,4YXKKnIZuk7UtXH5oC0ffa,Little Richard,Lucille,1950,0.676,0.708,8,-12.115,0,0.0698,0.592,0.000307,0.166,0.919,143.669,143827,4,56.0
92,92,5d6ZRqgbz26Sg4bk1oifQw,Carl Perkins,Blue Suede Shoes,1950,0.548,0.673,4,-7.318,0,0.0364,0.448,8.53e-05,0.342,0.965,168.891,134446,4,57.0
93,93,7bflxIMDz5mFxhQyYx1CEh,Perry Como,Magic Moments,1950,0.719,0.257,0,-14.446,0,0.0435,0.88,2.61e-06,0.257,0.75,103.829,159907,4,55.0
94,94,603N4XGJUTbK760GLCvIIs,The Fleetwoods,Come Softly To Me,1950,0.601,0.095,1,-18.478,1,0.0374,0.93,0.000285,0.116,0.672,122.975,144933,4,54.0
